,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_duration,koi_depth,koi_impact,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_model_snr
611,CONFIRMED,0,0,0,0,8.11528727,3.211,834.9,0.916,3.1,879.0,140.92,5926.0,4.532,0.887,59.1
612,CONFIRMED,0,0,0,0,36.9250409,4.9381,902.0,0.838,3.01,530.0,18.7,5926.0,4.532,0.887,39.3
613,FALSE POSITIVE,0,1,1,0,37.4783492,5.317,1467.9,1.161,10.05,262.0,1.12,3687.0,4.813,0.44,18.3
614,FALSE POSITIVE,0,0,1,1,8.09695764,3.319,283.5,1.165,34.0,1197.0,484.58,5949.0,4.024,1.707,35.4
615,CONFIRMED,0,0,0,0,32.3122867,6.569,677.8,0.934,4.84,699.0,56.49,5821.0,4.108,1.494,33.6
616,CONFIRMED,0,0,0,0,9.22961384,2.235,492.1,0.067,2.79,1021.0,257.11,6320.0,4.347,1.252,19.3
617,CONFIRMED,0,0,0,0,14.5598556,5.624,290.6,0.026,1.64,758.0,78.26,5959.0,4.46,0.966,15.6
618,CONFIRMED,0,0,0,0,4.176254191,3.6716,1360.1,0.715,3.07,876.0,139.48,4957.0,4.594,0.776,249.7
619,FALSE POSITIVE,1,0,1,0,0.528755447,5.714,408.5,1.204,47.75,3271.0,27241.45,6151.0,3.92,1.954,100.1
620,CONFIRMED,0,0,0,0,6.10027621,4.7476,766.6,0.015,2.59,990.0,227.15,5957.0,4.506,0.937,43.2
621,CANDIDATE,0,0,0,0,51.59809554,2.0153,5869.2,0.251,6.57,449.0,9.61,5681.0,4.551,0.859,79.7
622,CANDIDATE,0,0,0,0,1500.0,7.109,9592.0,0.9243,9.8,139.0,0.09,5606.0,4.597,0.76,62.5
623,FALSE POSITIVE,0,0,0,0,10.9110487,7.033,401.9,0.9761,2.36,786.0,90.07,5903.0,4.546,0.864,28.3
624,CONFIRMED,0,0,0,0,8.408878137,3.4967,798.9,0.018,2.28,809.0,101.22,5551.0,4.508,0.812,147.2
625,CONFIRMED,0,0,0,0,10.93725572,3.0822,421.6,0.866,2.41,777.0,86.28,5334.0,4.372,1.004,24.6
626,CONFIRMED,0,0,0,0,2.97136658,2.716,233.3,0.349,1.52,1200.0,490.13,5334.0,4.372,1.004,25.6
627,CONFIRMED,0,0,0,0,158.6850022,11.5372,898.3,0.034,3.08,350.0,3.53,5751.0,4.34,1.034,97.4
628,CONFIRMED,0,0,0,0,2.936527336,1.771,352.3,0.524,1.92,1209.0,505.22,5359.0,4.375,1.002,34.7
629,CONFIRMED,0,0,0,0,7.03902016,3.8633,529.8,0.015,2.45,1051.0,288.92,6321.0,4.434,1.058,54.3
630,CONFIRMED,0,0,0,0,8.360870704,2.7144,2039.7,0.494,3.67,690.0,53.68,4743.0,4.516,0.81,120.9
631,FALSE POSITIVE,0,0,1,0,3.14051153,8.2806,1444.4,1.251,31.01,1306.0,689.48,6108.0,4.443,0.974,139.5
632,CONFIRMED,0,0,0,0,21.76129812,1.243,1300.7,0.123,2.53,486.0,13.18,4859.0,4.612,0.72,60.0
633,FALSE POSITIVE,0,1,0,0,12.713794177,2.44093,36719.0,0.485,2.31,181.0,0.26,2661.0,5.283,0.116,2981.3
634,FALSE POSITIVE,0,1,0,0,15.801100028,6.37505,37545.0,0.512,15.61,614.0,33.6,5383.0,4.587,0.789,1642.2
635,CANDIDATE,0,0,0,0,1500.1406772,25.727,4129.9,0.9131,18.35,206.0,0.42,5009.0,3.755,2.283,83.3
636,FALSE POSITIVE,0,0,1,0,1.739428983,2.4894,5897.4,4.246,268.65,1268.0,612.49,5415.0,4.603,0.742,130.0
637,FALSE POSITIVE,0,1,1,0,1.217266418,3.3208,5811.5,0.878,14.49,2378.0,7548.29,6631.0,4.145,1.638,603.4
638,FALSE POSITIVE,0,1,0,0,19.563092517,6.9547,12992.0,0.842,23.76,965.0,205.39,6208.0,3.959,1.831,2477.0
639,FALSE POSITIVE,0,1,1,1,3.7228551,12.8164,2969.2,0.911,5.67,1118.0,368.33,5873.0,4.547,0.863,294.8
640,FALSE POSITIVE,0,1,0,0,48.93786896,6.5868,7240.1,0.981,24.19,764.0,80.37,7066.0,4.094,1.761,445.7
641,FALSE POSITIVE,0,1,1,0,5.48990788,4.02,598.9,1.199,23.6,1039.0,275.65,5982.0,4.493,0.96,36.7
642,CONFIRMED,0,0,0,0,161.5278347,3.6734,4653.6,0.0,8.19,366.0,4.25,5778.0,4.285,1.213,54.7
643,FALSE POSITIVE,1,0,1,1,0.73093905,2.8437,451.1,0.018,1.45,1488.0,1159.62,4768.0,4.588,0.711,52.4
644,CONFIRMED,0,0,0,0,11.39102358,2.303,448.6,0.732,1.67,618.0,34.55,4983.0,4.617,0.728,10.5
645,CONFIRMED,0,0,0,0,12.33343853,6.221,536.4,0.979,4.12,915.0,165.3,5896.0,4.197,1.24,31.7
646,CONFIRMED,0,0,0,0,8.01500821,3.0137,363.0,0.645,2.0,865.0,132.46,5359.0,4.375,1.002,28.6
647,FALSE POSITIVE,0,0,1,1,0.933749941,6.606,415.3,1.225,12.93,919.0,168.44,3682.0,4.786,0.48,88.8
648,CONFIRMED,0,0,0,0,7.053934488,1.7244,511.5,0.899,2.36,840.0,117.33,5357.0,4.498,0.863,56.3
649,CONFIRMED,0,0,0,0,4.29263699,2.7,61.4,0.454,0.68,991.0,227.69,5357.0,4.498,0.863,11.4
650,CONFIRMED,0,0,0,0,7.6746614,1.9374,503.0,0.939,2.8,957.0,198.67,6063.0,4.47,1.001,20.8
651,FALSE POSITIVE,1,0,1,1,0.445275074,2.276,254.7,0.639,1.21,1950.0,3419.7,5346.0,4.621,0.725,86.3
652,CONFIRMED,0,0,0,0,1.213770423,0.5532,1821.0,0.83,0.78,525.0,18.03,3292.0,5.215,0.148,111.4
653,CONFIRMED,0,0,0,0,0.453287416,0.4445,1461.5,0.81,0.76,729.0,66.14,3292.0,5.215,0.148,150.4
654,FALSE POSITIVE,0,1,0,0,10.810132734,4.4618,6165.2,0.948,13.95,985.0,222.68,6211.0,4.269,1.284,806.5
655,CONFIRMED,0,0,0,0,1.865114193,0.4279,1124.8,0.785,0.66,455.0,10.1,3292.0,5.215,0.148,56.9
656,FALSE POSITIVE,0,1,0,0,3.273699006,3.07626,6862.8,0.733,22.36,3060.0,20728.79,10816.0,4.086,2.493,1293.1
657,FALSE POSITIVE,0,1,1,1,7.047103499,3.3208,71318.0,1.047,51.86,955.0,196.62,5730.0,4.417,1.035,274.9
658,FALSE POSITIVE,0,0,0,1,0.530300102,2.8502,3040.0,1.2507,35.73,2410.0,7972.18,6184.0,4.448,1.038,207.4
659,FALSE POSITIVE,0,1,1,0,1.073917869,2.4305,1926.6,1.266,33.01,1794.0,2450.63,5962.0,4.479,0.959,137.5
660,FALSE POSITIVE,1,0,1,1,4.206096814,10.7381,1298.1,1.239,32.66,1252.0,581.11,6306.0,4.426,1.076,149.3
661,FALSE POSITIVE,0,1,1,1,19.56313723,6.8575,5536.0,0.908,9.73,706.0,58.71,5766.0,4.352,1.077,157.8
662,FALSE POSITIVE,0,1,1,1,2.227718792,4.9699,1039.0,1.04,8.88,1400.0,906.46,6038.0,4.508,0.922,124.3
663,FALSE POSITIVE,0,1,0,0,0.591914504,1.0225,1057.7,1.344,27.21,1646.0,1746.78,5122.0,4.659,0.655,56.3
664,CONFIRMED,0,0,0,0,36.7704935,4.42,1346.6,0.545,2.83,437.0,8.6,5142.0,4.602,0.755,40.8
665,CONFIRMED,0,0,0,0,14.58932429,2.4184,831.3,0.694,2.32,594.0,29.53,5142.0,4.602,0.755,29.3
666,CONFIRMED,0,0,0,0,0.764017553,1.103,128.2,0.442,0.86,1589.0,1503.79,5142.0,4.602,0.755,13.2
667,CONFIRMED,0,0,0,0,59.8780258,4.8027,1419.1,0.004,2.19,273.0,1.31,4016.0,4.658,0.599,51.8
668,CANDIDATE,0,0,0,0,20.51360192,3.4769,1174.1,0.703,2.58,540.0,20.15,5310.0,4.608,0.704,32.3
669,CONFIRMED,0,0,0,0,74.92768653,4.74,4119.2,0.796,6.39,409.0,6.62,5618.0,4.46,0.897,161.5
670,CONFIRMED,0,0,0,0,150.0189511,4.3823,4319.7,1.252,32.6,325.0,2.62,5618.0,4.46,0.897,106.2
671,CONFIRMED,0,0,0,0,2.613020421,1.9588,599.7,0.891,1.5,713.0,61.24,3883.0,4.725,0.517,31.1
672,CONFIRMED,0,0,0,0,0.927859786,1.4279,515.3,0.795,1.79,1361.0,813.3,4815.0,4.631,0.699,99.8
673,CONFIRMED,0,0,0,0,205.912735,9.992,2378.8,0.196,4.68,298.0,1.85,5644.0,4.457,0.969,49.4
674,CONFIRMED,0,0,0,0,7.10695741,5.1462,131.0,0.079,1.72,1157.0,422.8,5761.0,4.091,1.518,33.8
675,CANDIDATE,0,0,0,0,0.783276173,1.6735,264.7,0.041,1.98,2149.0,5056.88,5640.0,4.247,1.233,46.9
676,CANDIDATE,0,0,0,0,3.17405898,2.3156,282.2,0.422,2.09,1348.0,780.46,5640.0,4.247,1.233,29.2
677,CONFIRMED,0,0,0,0,2.1395563,2.0678,266.1,0.368,1.76,1425.0,974.3,5534.0,4.338,1.08,48.9
678,CONFIRMED,0,0,0,0,4.807103254,0.9393,450.5,0.94,2.96,1088.0,330.84,5534.0,4.338,1.08,32.9
679,CONFIRMED,0,0,0,0,21.4054422,11.721,409.3,0.943,11.64,1087.0,330.0,4838.0,3.299,4.361,60.9
680,CONFIRMED,0,0,0,0,10.5007712,14.522,183.4,0.034,5.68,1378.0,852.28,4838.0,3.299,4.361,45.3
681,CONFIRMED,0,0,0,0,2.633852528,2.0206,259.8,0.204,1.38,1131.0,387.43,5114.0,4.463,0.878,23.3
682,CONFIRMED,0,0,0,0,6.18670882,2.909,202.6,0.013,1.21,851.0,123.96,5114.0,4.463,0.878,14.3
683,CONFIRMED,0,0,0,0,1.796320953,1.9139,210.9,0.015,1.2,1367.0,827.82,5576.0,4.503,0.829,22.1
684,CONFIRMED,0,0,0,0,3.468073,2.361,243.9,0.143,1.29,1098.0,343.57,5576.0,4.503,0.829,20.6
685,CONFIRMED,0,0,0,0,5.9142668,2.661,253.2,0.04,1.31,919.0,168.51,5576.0,4.503,0.829,17.4
686,CONFIRMED,0,0,0,0,14.00640392,4.6919,716.4,0.568,3.11,807.0,100.09,5788.0,4.323,1.124,109.3
687,CONFIRMED,0,0,0,0,3.546531809,2.2746,442.7,0.633,2.18,1212.0,510.26,5993.0,4.489,0.986,26.4
688,CONFIRMED,0,0,0,0,5.70070626,1.6408,379.8,0.664,2.03,1035.0,270.62,5993.0,4.489,0.986,15.2
689,CONFIRMED,0,0,0,0,20.8341497,4.522,803.1,0.269,2.26,563.0,23.82,5296.0,4.538,0.808,26.2
690,CONFIRMED,0,0,0,0,7.0556584,3.0479,705.6,0.301,2.13,808.0,100.88,5296.0,4.538,0.808,32.1
691,CONFIRMED,0,0,0,0,10.47548084,2.3024,1070.7,0.664,2.11,540.0,20.15,4463.0,4.677,0.611,40.3
692,CONFIRMED,0,0,0,0,22.92886314,2.0831,908.9,0.805,2.08,416.0,7.09,4463.0,4.677,0.611,21.3
693,CONFIRMED,0,0,0,0,77.4740991,4.168,1543.6,0.758,2.63,277.0,1.4,4463.0,4.677,0.611,27.5
694,CANDIDATE,0,0,0,0,345.1589354,7.5646,5087.9,0.87,7.79,241.0,0.8,5597.0,4.515,0.931,197.9
695,CONFIRMED,0,0,0,0,6.88595222,4.148,428.5,0.953,2.68,946.0,189.35,5616.0,4.394,0.999,34.5
696,CANDIDATE,0,0,0,0,99.6442783,5.1772,3215.6,0.966,8.48,415.0,6.98,6102.0,4.447,1.016,163.2
697,FALSE POSITIVE,0,1,1,1,3.125814002,1.7895,238.8,0.506,1.88,1460.0,1073.04,6358.0,4.346,1.181,32.0
698,CONFIRMED,0,0,0,0,5.660669429,4.6483,737.8,0.477,3.24,1115.0,365.53,5746.0,4.266,1.173,201.1
699,FALSE POSITIVE,0,0,1,0,10.80487163,2.7215,292.7,0.207,1.71,857.0,127.84,6092.0,4.471,0.998,27.4
700,CONFIRMED,0,0,0,0,13.71938426,5.5677,316.4,0.022,1.98,864.0,131.94,6387.0,4.41,1.105,48.3
701,CONFIRMED,0,0,0,0,29.2214959,4.014,394.0,0.779,1.81,539.0,20.03,5576.0,4.503,0.829,14.6
702,CONFIRMED,0,0,0,0,44.8520997,3.5729,780.8,0.807,3.35,513.0,16.35,5514.0,4.345,1.071,33.0
703,CONFIRMED,0,0,0,0,20.34237838,2.3351,564.6,0.826,2.88,667.0,46.93,5514.0,4.345,1.071,28.7
704,CONFIRMED,0,0,0,0,118.3786735,9.5574,1083.3,0.011,3.4,376.0,4.75,5657.0,4.364,1.046,83.1
705,CONFIRMED,0,0,0,0,23.58444746,5.5545,429.2,0.711,3.0,730.0,66.96,5655.0,4.152,1.354,42.8
706,CONFIRMED,0,0,0,0,11.97884409,3.751,707.9,0.073,2.11,678.0,49.87,5296.0,4.538,0.808,27.8
707,CONFIRMED,0,0,0,0,3.71545593,2.558,331.7,0.327,1.46,1001.0,237.42,5296.0,4.538,0.808,19.6
708,CONFIRMED,0,0,0,0,2.58083264,2.1729,270.2,0.16,1.31,1130.0,386.18,5296.0,4.538,0.808,17.5
709,FALSE POSITIVE,0,0,1,1,1.487084251,1.3233,295.7,0.678,1.6,1462.0,1076.29,5650.0,4.551,0.876,17.9
710,CONFIRMED,0,0,0,0,19.25404023,4.6509,987.7,0.548,3.04,657.0,44.17,5798.0,4.507,0.941,50.7
711,CONFIRMED,0,0,0,0,15.0549356,4.801,256.4,0.321,1.6,729.0,66.72,5616.0,4.394,0.999,16.6
712,CONFIRMED,0,0,0,0,2.92721119,2.545,170.2,0.043,1.29,1258.0,593.23,5616.0,4.394,0.999,18.0
713,CONFIRMED,0,0,0,0,38.2856338,6.512,322.8,0.115,1.77,534.0,19.24,5616.0,4.394,0.999,15.0
714,CONFIRMED,0,0,0,0,19.80787763,3.453,616.3,0.054,2.08,624.0,35.89,5775.0,4.558,0.84,20.1
715,CONFIRMED,0,0,0,0,2.343230566,2.0424,246.5,0.047,1.18,1054.0,292.31,4798.0,4.533,0.782,23.9
716,CANDIDATE,0,0,0,0,19.03723442,3.3882,401.3,0.033,5.74,1051.0,288.04,5248.0,3.523,2.892,25.3
717,FALSE POSITIVE,0,1,0,0,2.73987398,4.15886,20632.0,0.703,34.83,2113.0,4705.3,6520.0,3.844,2.26,1454.3
718,FALSE POSITIVE,0,1,0,0,5.801880653,4.2608,41924.0,0.773,19.91,964.0,203.62,5845.0,4.541,0.874,396.8
719,FALSE POSITIVE,0,1,0,0,85.34092607,10.6141,51746.0,12.773,1177.65,409.0,6.61,6004.0,4.522,0.898,898.4
720,FALSE POSITIVE,0,1,1,1,0.782045734,1.7945,16185.0,1.244,45.05,2070.0,4332.1,6113.0,4.463,0.995,272.3
721,CANDIDATE,0,0,0,0,0.576078683,1.63253,10085.0,1.113,23.23,1982.0,3647.63,5693.0,4.57,0.816,426.0
722,CONFIRMED,0,0,0,0,10.1171684,4.6677,288.7,0.296,3.07,1163.0,433.41,6306.0,4.077,1.792,50.6
723,CONFIRMED,0,0,0,0,19.12947603,3.9622,451.2,0.861,4.23,817.0,105.25,5372.0,4.007,1.71,31.7
724,CONFIRMED,0,0,0,0,83.5781976,7.2487,630.8,0.544,6.63,655.0,43.62,6056.0,3.788,2.562,54.9
725,CONFIRMED,0,0,0,0,6.1469956,3.3153,249.6,0.083,2.04,1164.0,433.72,6110.0,4.285,1.296,25.8
726,FALSE POSITIVE,0,1,1,0,0.522457732,0.8907,143.8,0.967,1.52,2308.0,6715.55,5991.0,4.459,0.954,48.2
727,CONFIRMED,0,0,0,0,54.1558384,4.432,1109.8,0.927,3.88,466.0,11.12,5798.0,4.507,0.941,29.1
728,CONFIRMED,0,1,0,0,3.548465446,4.56904,7251.5,0.075,14.92,1640.0,1708.28,6290.0,4.074,1.746,2486.5
729,CONFIRMED,0,0,0,0,11.1199028,3.3759,636.3,0.72,2.08,649.0,42.07,5078.0,4.581,0.766,100.3
730,CONFIRMED,0,0,0,0,0.567856484,1.0258,334.8,0.324,1.55,1848.0,2760.23,5073.0,4.483,0.853,53.8
731,FALSE POSITIVE,0,1,1,0,251.0597249,5.1095,7419.8,1.264,44.2,301.0,1.93,5714.0,4.34,1.086,110.3
732,FALSE POSITIVE,0,0,1,1,11.70219638,2.6658,639.7,1.166,16.15,719.0,63.16,5758.0,4.596,0.762,41.3
733,CONFIRMED,0,0,0,0,40.7150498,8.587,563.9,0.638,2.2,516.0,16.76,5968.0,4.534,0.881,56.4
734,CONFIRMED,0,0,0,0,10.44635944,2.749,354.2,0.967,2.18,812.0,102.77,5968.0,4.534,0.881,34.4
735,CONFIRMED,0,0,0,0,2.508553286,2.2664,211.6,0.009,1.28,1278.0,629.8,5814.0,4.523,0.881,26.8
736,CONFIRMED,0,0,0,0,13.75129636,3.853,348.5,0.359,1.66,725.0,65.24,5814.0,4.523,0.881,24.6
737,FALSE POSITIVE,1,0,1,0,0.885747456,4.4788,895.2,1.205,269.98,4958.0,142553.16,5487.0,2.816,10.396,203.6
738,FALSE POSITIVE,0,0,1,0,3.611541977,8.6068,2972.3,1.254,28.07,1005.0,240.29,5203.0,4.504,0.802,167.1
739,CONFIRMED,0,0,0,0,8.041347775,2.6332,591.0,0.26,1.29,507.0,15.59,3980.0,4.722,0.54,77.5
740,FALSE POSITIVE,0,0,1,0,5.082722475,5.9139,1974.1,0.019,4.4,1059.0,296.94,5780.0,4.438,1.0,95.5
741,CANDIDATE,0,0,0,0,78.9257421,7.5193,17972.0,0.359,11.9,398.0,5.94,5750.0,4.538,0.882,85.2
742,FALSE POSITIVE,0,1,1,0,9.991625291,3.8552,3450.5,1.256,38.93,907.0,160.14,5874.0,4.338,1.096,220.3
743,CONFIRMED,0,0,0,0,8.57504983,8.653,160.6,0.129,4.26,1374.0,841.68,4986.0,3.462,3.464,36.9
744,CANDIDATE,0,0,0,0,6.84639884,3.4919,149.7,0.9,1.9,1132.0,387.84,6065.0,4.251,1.31,36.3
745,CONFIRMED,0,0,0,0,7.64970832,6.625,55.4,0.898,1.43,1144.0,404.99,5855.0,4.125,1.613,28.5
747,CONFIRMED,0,0,0,0,10.30401132,4.2246,316.1,0.017,1.84,849.0,122.98,5657.0,4.364,1.046,53.8
748,FALSE POSITIVE,0,1,0,0,2.171827838,3.2205,42086.0,1.323,58.56,1311.0,698.31,5650.0,4.513,0.891,300.6
749,CONFIRMED,0,0,0,0,3.016182013,2.8349,222.5,0.732,2.25,1449.0,1044.49,5611.0,4.144,1.4,31.9
750,CONFIRMED,0,0,0,0,6.8833761,2.2702,458.4,0.075,1.69,857.0,127.67,5679.0,4.581,0.794,28.1
751,FALSE POSITIVE,0,1,1,0,0.833980196,1.756,261.2,0.547,1.45,1816.0,2562.78,5747.0,4.53,0.871,56.9
753,FALSE POSITIVE,0,0,1,1,1.926353494,2.5305,185.1,0.767,1.33,1484.0,1146.34,6063.0,4.481,0.899,36.9
754,FALSE POSITIVE,0,0,1,1,0.890737359,1.9257,195.8,1.146,20.57,2022.0,3948.43,5687.0,4.293,1.169,37.7
755,CONFIRMED,0,0,0,0,5.41908491,2.3379,231.0,0.536,1.38,989.0,225.71,5814.0,4.523,0.881,20.2
756,CONFIRMED,0,0,0,0,7.01733571,3.567,255.5,0.581,1.61,984.0,221.46,6052.0,4.456,0.967,15.5
757,CONFIRMED,0,0,0,0,6.91134223,5.6743,201.7,0.259,1.9,1086.0,328.65,5685.0,4.194,1.35,44.0
758,CONFIRMED,0,0,0,0,394.6249514,24.108,2013.3,0.336,7.79,325.0,2.65,5910.0,4.03,1.727,234.6
759,CONFIRMED,0,0,0,0,7.19304935,3.407,255.3,0.017,1.59,995.0,232.36,6185.0,4.472,0.991,19.0
760,CONFIRMED,0,0,0,0,86.64764448,4.2326,7311.6,0.0,9.4,419.0,7.28,5522.0,4.323,1.12,241.9
761,CONFIRMED,0,0,0,0,36.33750453,7.06,2828.4,0.825,5.3,513.0,16.36,5717.0,4.538,0.884,96.8
762,CONFIRMED,0,0,0,0,14.64613058,5.688,593.5,0.561,2.22,694.0,54.95,5717.0,4.538,0.884,30.0
763,CONFIRMED,0,0,0,0,148.272013,4.192,1707.4,0.883,4.3,321.0,2.51,5717.0,4.538,0.884,21.8
764,FALSE POSITIVE,0,1,1,1,1.506507172,4.5346,880.9,1.226,13.4,801.0,97.56,3755.0,4.774,0.473,86.7
765,FALSE POSITIVE,0,1,0,0,1.634614356,3.4422,19762.0,1.229,44.22,1611.0,1597.73,6121.0,4.468,0.97,376.5
766,FALSE POSITIVE,0,1,0,0,16.025018977,3.8828,29090.0,13.239,1069.01,657.0,44.01,5776.0,4.582,0.789,257.8
767,CONFIRMED,0,0,0,0,10.50682978,3.7769,13356.0,0.407,9.01,668.0,47.21,5127.0,4.589,0.782,343.4
768,FALSE POSITIVE,0,1,0,0,0.711966971,2.0221,6227.5,1.268,33.34,1855.0,2808.98,5486.0,4.47,0.83,392.2
769,FALSE POSITIVE,0,1,1,1,17.72724392,4.1073,16878.0,0.825,14.77,741.0,71.06,6181.0,4.464,1.006,109.7
770,CONFIRMED,0,0,0,0,321.2124365,4.012,2358.6,0.873,7.25,310.0,2.17,6018.0,4.257,1.286,81.7
771,FALSE POSITIVE,0,0,1,0,7.13895376,4.568,254.2,1.199,49.96,1622.0,1635.0,7131.0,3.913,2.145,32.9
772,FALSE POSITIVE,0,1,1,1,4.4645454,2.8823,194.3,0.808,3.07,1601.0,1555.36,6093.0,3.91,1.985,37.6
773,CONFIRMED,0,0,0,0,11.29689442,4.623,198.5,0.634,1.74,907.0,160.18,6096.0,4.358,1.176,20.9
774,FALSE POSITIVE,0,0,1,0,19.30112039,6.0752,232.3,0.862,1.66,669.0,47.49,5687.0,4.408,0.943,45.0
775,FALSE POSITIVE,0,1,0,0,1.20320092,1.9197,2807.1,1.274,49.25,2124.0,4809.16,6218.0,4.198,1.349,250.8
776,CONFIRMED,0,0,0,0,5.968724048,3.651,510.6,0.166,3.26,1251.0,579.9,6122.0,4.173,1.439,107.1
777,FALSE POSITIVE,0,1,0,0,10.980246199,3.74464,50078.0,0.733,21.94,821.0,107.47,5952.0,4.462,0.897,1555.4
778,CONFIRMED,0,1,0,0,2.144632238,6.2701,19837.0,1.228,59.19,1736.0,2146.82,6296.0,4.24,1.305,334.8
779,FALSE POSITIVE,0,1,0,0,27.32204488,5.6716,77474.0,0.257,21.58,531.0,18.81,5620.0,4.592,0.772,3622.7
780,FALSE POSITIVE,0,1,0,0,1.152216965,2.2245,12072.0,0.811,187.73,5283.0,183811.71,5560.0,2.619,15.113,104.5
781,FALSE POSITIVE,0,1,1,1,5.2972293,3.799,1210.5,0.022,47.7,2867.0,15961.1,4631.0,2.386,14.296,31.8
782,CONFIRMED,0,0,0,0,133.460999,11.4997,5032.9,0.249,11.21,433.0,8.29,5588.0,4.047,1.593,162.3
783,CONFIRMED,0,0,0,0,5.188563677,2.3683,358.7,0.179,1.0,586.0,27.95,3980.0,4.722,0.54,56.4
784,CONFIRMED,0,0,0,0,15.19423359,3.106,367.8,0.906,3.69,893.0,150.25,5588.0,4.047,1.593,18.1
785,FALSE POSITIVE,0,0,1,1,14.17098745,3.4804,3070.8,0.041,4.19,608.0,32.22,5107.0,4.565,0.777,93.6
786,FALSE POSITIVE,0,1,1,1,31.9734169,13.262,1414.4,1.24,24.1,442.0,9.01,4931.0,4.595,0.774,62.5
787,CONFIRMED,0,0,0,0,3.990105908,2.4108,6154.9,0.582,7.45,1124.0,378.53,5926.0,4.519,0.913,247.8
788,FALSE POSITIVE,0,1,1,0,0.52205862,2.0847,1381.3,1.24,27.16,2022.0,3951.57,5359.0,4.478,0.878,169.0
789,CONFIRMED,0,0,0,0,10.035381809,3.4062,2829.7,0.079,4.42,786.0,90.33,5813.0,4.561,0.833,150.9
790,FALSE POSITIVE,0,1,0,0,53.100942624,2.2868,19981.0,0.988,24.02,464.0,10.93,5465.0,4.396,0.973,1108.5
791,FALSE POSITIVE,0,0,1,1,5.80181368,4.119,269.6,0.967,4.52,1491.0,1168.82,6020.0,3.86,2.097,35.3
792,FALSE POSITIVE,0,1,1,1,15.6402515,6.222,800.3,1.167,18.11,640.0,39.55,5346.0,4.491,0.826,19.3
793,FALSE POSITIVE,0,0,1,0,0.691666384,1.9603,35.6,0.552,0.58,2031.0,4014.57,5687.0,4.408,0.943,20.8
794,CONFIRMED,0,0,0,0,5.62154315,2.4143,172.3,0.742,1.37,992.0,229.04,5637.0,4.439,0.96,35.3
795,FALSE POSITIVE,0,1,1,1,1.074106954,1.9797,64.5,0.122,0.52,1255.0,588.96,4699.0,4.637,0.676,48.5
796,FALSE POSITIVE,0,1,0,0,5.117401517,4.3056,62929.0,0.683,28.41,1130.0,385.51,6161.0,4.454,1.053,456.6
797,FALSE POSITIVE,0,1,0,0,4.20233673,3.6973,45982.0,0.004,23.53,1246.0,570.87,6185.0,4.396,1.094,258.8
798,CONFIRMED,0,0,0,0,8.50698069,2.938,295.5,0.816,1.9,900.0,155.42,5822.0,4.428,0.986,20.7
799,FALSE POSITIVE,0,1,1,1,15.60865244,6.26,311.4,0.985,6.17,1419.0,958.55,8014.0,3.94,2.43,46.9
800,CONFIRMED,0,0,0,0,0.669310092,1.6274,131.8,0.157,1.13,1983.0,3643.96,5475.0,4.426,1.003,75.3
801,FALSE POSITIVE,0,1,1,0,4.494498254,1.9742,248.2,1.149,62.11,1667.0,1824.84,5117.0,3.578,3.403,39.3
802,CONFIRMED,0,0,0,0,44.9306706,6.539,438.4,0.481,2.49,565.0,24.17,6121.0,4.397,1.164,33.8
803,CONFIRMED,0,0,0,0,14.13175309,4.0136,1033.0,0.848,3.02,675.0,49.18,5616.0,4.564,0.822,40.1
804,FALSE POSITIVE,0,1,1,1,1.061934816,3.2551,437.2,1.25,25.72,1660.0,1789.63,5730.0,4.545,0.87,74.5
805,CONFIRMED,0,0,0,0,11.41926141,3.9908,915.6,0.242,1.48,419.0,7.32,3823.0,4.765,0.492,58.0
806,FALSE POSITIVE,0,1,1,0,5.93821065,2.5128,522.5,1.646,61.63,996.0,231.93,6123.0,4.545,0.85,33.6
807,CANDIDATE,0,0,0,0,268.9410974,5.4434,9010.2,0.765,13.57,321.0,2.52,5798.0,4.224,1.306,120.4
808,FALSE POSITIVE,0,1,1,0,0.655001616,1.8136,271.2,1.121,31.77,3162.0,23595.49,6426.0,3.965,2.089,104.5
809,CANDIDATE,0,0,0,0,80.9669561,2.5276,4733.0,0.007,5.04,364.0,4.14,5611.0,4.61,0.737,52.0
810,CONFIRMED,0,0,0,0,33.1996355,5.022,1112.5,0.017,2.85,485.0,13.09,5102.0,4.463,0.88,32.6
811,FALSE POSITIVE,0,1,1,1,8.65306587,4.486,1048.1,1.222,19.78,633.0,37.94,4641.0,4.589,0.694,43.0
812,CANDIDATE,0,0,0,0,6.80082032,1.9883,699.9,0.597,1.88,697.0,55.83,4805.0,4.633,0.688,25.5
813,CONFIRMED,0,0,0,0,19.30581662,4.2902,709.1,0.001,4.0,815.0,104.41,5661.0,4.09,1.522,36.3
814,FALSE POSITIVE,0,1,0,0,3.221785738,3.3411,46379.0,0.777,25.03,1357.0,800.37,6250.0,4.411,1.041,336.4
815,FALSE POSITIVE,1,0,0,0,0.6243875,1.92102,36855.0,1.157,29.45,1639.0,1693.36,5211.0,4.644,0.618,628.3
816,FALSE POSITIVE,0,1,0,0,18.610092584,4.98308,50834.0,1.258,55.23,686.0,52.24,6077.0,4.526,0.891,1309.3
