,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_duration,koi_depth,koi_impact,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_model_snr
8740,FALSE POSITIVE,0,1,0,0,1.890227354,3.855,112260.0,0.957,42.05,1236.0,551.66,5356.0,4.589,0.78,252.0
8741,FALSE POSITIVE,0,1,0,0,1.387206724,3.82527,151430.0,0.856,103.41,2619.0,11126.98,7207.0,4.06,1.894,1752.6
8742,FALSE POSITIVE,0,0,1,1,1.38718209,2.595,45.5,0.28,0.68,1707.0,2011.41,6122.0,4.471,0.996,7.2
8743,FALSE POSITIVE,0,1,0,0,35.026564845,2.90121,120250.0,0.777,34.88,489.0,13.56,5546.0,4.575,0.81,1607.2
8744,CANDIDATE,0,0,0,0,7.918267,3.478,83.7,0.219,0.93,953.0,195.36,5966.0,4.418,1.016,8.4
8745,FALSE POSITIVE,0,1,0,0,3.138580493,4.16343,233340.0,0.619,59.24,1281.0,635.61,5593.0,4.311,1.083,2387.8
8747,FALSE POSITIVE,1,0,0,0,581.0723,15.81,1364.2,88.7243,161858.0,639.0,39.36,5026.0,2.504,16.891,15.9
8748,CANDIDATE,0,0,0,0,10.2170589,2.259,121.3,0.132,1.17,929.0,176.34,6211.0,4.384,1.054,7.9
8749,FALSE POSITIVE,0,1,0,0,3.50474265,8.2852,88625.0,1.049,200.24,2689.0,12355.55,7624.0,3.622,3.682,977.2
8750,FALSE POSITIVE,0,1,0,0,2.14344093,3.9741,133320.0,0.686,28.69,1033.0,269.48,4817.0,4.624,0.7,645.9
8752,FALSE POSITIVE,0,1,0,0,9.058487716,4.14334,127970.0,0.213,20.51,547.0,21.15,4340.0,4.671,0.573,2098.9
8753,FALSE POSITIVE,0,1,0,0,2.856085147,4.5776,173840.0,0.841,88.52,1739.0,2164.0,6604.0,4.178,1.526,422.1
8754,FALSE POSITIVE,0,1,1,0,0.876941133,1.296,73.5,0.386,0.85,1938.0,3332.14,6018.0,4.485,0.975,12.3
